strasse;strassen_bez;herkunft;beschluss;gueltig_ab
2209;Junkerstraße;"Erinnert an den so genannten Junkerhof, der sich einst in dieser Gegend befunden haben soll.";1899-10-27;
4027;"Am Hölder";"Flurname, althochdeutsch heldi, mittelhochdeutsch helde, mundartlich en de Höll: (mit Gebüsch) bewachsener Hang.";1980-09-16;
4721;Clematisweg;;1975-03-11;1978-01-01
4480;Steinpilzweg;Flurname.;1975-03-11;1978-01-01
2511;Paul-Magar-Straße;"Paul Magar (1909-2000), Maler, lebte und arbeitete in Bad Godesberg.";2006-01-25;
4081;"Am Götgesbach";"Nach dem in der Nähe vorbeifließenden Bach.";1984-06-14;
1246;Fritz-Schroeder-Ufer;"Fritz Schroeder (1853-1931), städtischer Turninspektor.";1933-04-06;
1165;Dellweg;"Alter Wegname, heute Reststück eines europäischen Fernweges Süd / Nord, der im Becken eines ehemaligen Rheinarmes verlief.";;
3756;"Im Verbott";Flurname.;1982-01-26;
2027;"Am Turmhof";"Die Straße liegt in der Nähe des im 16. Jahrhundert erwähnten und im 19. Jahrhundert abgerissenen Plittersdorfer Turmhofes.";1952-09-30;
1739;"An der Casselsruhe";"Weg zur Aussichtsstelle auf dem Venusberg, benannt nach Heinrich Cassel (1794-1875), Bürgermeister der Bürgermeisterei Poppelsdorf 1833-1863.";1974-10-22;1978-01-01
4487;"Witterschlicker Allee";"Witterschlick, Ortsteil von Alfter.";1846-11-15;
1593;"Oppelner Straße";"Oppeln, Stadt an der Oder, heute Opole in Polen.";1959-03-13;
4101;Susanne-Miller-Straße;"Susanne Miller (1915-2008), Historikerin, Leiterin der Historischen Kommission beim SPD-Parteivorstand 1982-1989,  Vorsitzende der Arbeitsgemeinschaft ehemals verfolgter Sozialdemokraten. 1996-2008.";2013-10-15;2013-11-06
3224;"Im Gensem";"Flurname. Bezeichnung eines früheren im Norden von Schwarzrheindorf gelegenen Ortsteils. Lange als Ableitung eines Siedlungsnahmens Gensheim angesehen, eine andere Erklärung: Gänsewasem (Gänseweide). Diskutiert wurde auch die Herkunft von einer lateinischen Ortsbezeichnung ""Gesonia"", die der römische Schriftsteller Florus als rechtsrheinisches Gegenüber von ""Bonna"" nennt.";;
1827;Wolfstraße;;1898-01-07;
2416;Turmstraße;"Die Straße führt am Turmhof, einem aus dem Mittelalter stammenden Anwesen, vorbei.";1899-10-13;
4621;Höhenweg;;1944-04-26;
1337;Hinsenkampstraße;"Johannes Hinsenkamp (1870-1949), Münsterpfarrer und Dechant, Ehrenbürger der Stadt Bonn 1945.";1949-08-05;
2167;Levyweg;"Die in Mehlem alteingesessene jüdische Familie Levy wurde in der NZ-Zeit deportiert und ermordet.";;
1305;Hermann-Wandersleb-Ring;"Hermann Wandersleb (1895-1977), Chef der Staatskanzlei in Düsseldorf, 1949 Staatssekretär im Bundesministerium für Wohnungsbau, gilt als der ""Geburtshelfer der Bundeshauptstadt Bonn"", Ehrenbürger der Stadt Bonn 1968.";1985-06-12;
2376;Servatiusstraße;"Der hl. Servatius, Pfarrpatron von Friesdorf.";1930-07-29;1930-01-01
1433;Hans-Iwand-Straße;"Hans Iwand (1899-1960). evangelischer Theologe, Professor an der Universität Bonn.";1974-10-22;1978-01-01
1173;"An der Waldau";"Nach dem alten Namen der dort liegenden Gaststätte.";1989-04-25;
2206;"Am Lindenbach";Flurname.;1977-03-24;1978-01-01
1376;"Im Wurzelbusch";Flurname.;1954-03-08;
1429;"Kessenicher Straße";"Kessenich, Ortsteil von Bonn.";;
4075;"In der Wieste";"Flurname.  Wieste bezeichnet unkultiviertes oder verwahrlostes Land.";1972-12-19;
3233;"Im Ziegelfeld";"Das Stück Land, aus dem Lehm und Ton zur Herstellung Ziegel gewonnen wurde.";1959-12-21;
1019;"Auf der Steige";;1974-10-22;1978-01-01
4201;"Am Paulusacker";"Flurname, entstanden aus ""Paus-Acker"", Bezeichnung für eine Rebschule für den Weinbau (1625 urkundlich belegt).";1961-05-08;
2190;"Im Gries";"Flurname. Das Wort Gries oder auch Griss kommt auch gelegentlich in Verbindung mit Flurnamen vor und deutet auf Kies- oder Sandboden in dieser Gegend hin.";1965-03-26;
4738;Kreuzbergstraße;"Kreuzberg, Anhöhe in Bonn, auf der im 17. Jahrhundert im Auftrag des Kölner Kurfürsten Ferdinand von Bayern die Kreuzbergkirche errichtet wurde. Im 18. Jahrhundert stiftete Kurfürst Clemens August die vor der Kirche gelegene Heilige Stiege.";1953-02-25;
1116;Brassertufer;"Hermann Brassert (1820-1901), Berghauptmann und langjähriger Bonner Stadtverordneter.";1921-04-23;
4229;"Waldenburger Ring";"Waldenburg, Stadt in Schlesien, heute Walbrzych in Polen.";1975-01-14;1975-02-21
1460;Kurfürstenstraße;;;
